player_id,player_name,hand,height,ioc,total_matches,wins,win_pct,rank,rank_points,first_serve_pct,first_serve_win_pct,second_serve_win_pct,ace_rate,df_rate,bp_save_pct,service_pts_won_pct,return_pts_won_pct,dominance_ratio
104925,Novak Djokovic,R,188.0,SRB,1294,1088,0.8408037094281299,1.0,16950.0,0.6498181420434817,0.7507972806993486,0.5693280882103071,0.0765359077838983,0.029246505122943252,0.6305790492364981,0.6870109682255013,0.4297856976737159,1.656070421005017
104745,Rafael Nadal,L,185.0,ESP,1211,1014,0.8373245251857968,1.0,15390.0,0.6762189011105277,0.7339508397769491,0.5815538797238562,0.045536028327998634,0.022638543596598146,0.6419601999822725,0.684428091175878,0.43516405067013,1.644110600379024
104918,Andy Murray,R,190.0,GBR,969,710,0.7327141382868937,1.0,12560.0,0.5827032282383228,0.7490566255389745,0.5254242225502579,0.08781401010212202,0.03255704540897037,0.6094264722719924,0.6555564498567213,0.41683879877442964,1.6373427555388425
103819,Roger Federer,R,185.0,SUI,1070,913,0.8532710280373832,1.0,12165.0,0.6312515190747776,0.7893914523588318,0.5939477442145121,0.10665101831375615,0.019494105936798005,0.6694053698047814,0.7167756161784474,0.40752556371351467,1.8196222026717663
206173,Jannik Sinner,R,191.0,ITA,339,261,0.7699115044247787,1.0,11830.0,0.6014130330072973,0.7567352911698957,0.5578692172803656,0.07754528455263023,0.025988276351593443,0.6538659020321321,0.6771257582950602,0.4061611728105812,1.7237695786115579
106421,Daniil Medvedev,R,198.0,RUS,528,373,0.7064393939393939,1.0,10620.0,0.6175304485977766,0.757202811000719,0.521560051594057,0.1071101154582292,0.04756768269947052,0.6117494380215622,0.6675575250558416,0.40090044052498586,1.7617590385447959
207989,Carlos Alcaraz,R,183.0,ESP,261,207,0.7931034482758621,1.0,9815.0,0.6540824361241794,0.7283301942977717,0.565109955603502,0.05286219817656849,0.027875795939979353,0.6187277557993893,0.6719420065331705,0.42231387807321463,1.6450924640242532
106233,Dominic Thiem,R,185.0,AUT,551,343,0.6225045372050817,3.0,9125.0,0.6037140399413872,0.7392380087248616,0.5370308384533944,0.07361411910324628,0.035537535304122736,0.5977230272457812,0.6581262107597161,0.3726753360777816,1.8835395249246139
126774,Stefanos Tsitsipas,R,193.0,GRE,495,334,0.6747474747474748,3.0,8350.0,0.6232024742442843,0.7678534896548763,0.5537897535748304,0.0901208359556753,0.028537878916652083,0.6207894621270074,0.6876312125024666,0.36428064660421583,2.0120463582335475
100644,Alexander Zverev,R,198.0,GER,645,449,0.6961240310077519,2.0,8240.0,0.6665232350403889,0.751074249752952,0.516486973641181,0.11046161287342202,0.04571374041434223,0.6065436999921452,0.6725203221397758,0.38586371992787893,1.8169680317721353
103970,David Ferrer,R,175.0,ESP,955,647,0.6774869109947644,3.0,7220.0,0.6309729153844206,0.6982141962593224,0.5375212760611687,0.03663331765151104,0.033019817067213,0.5957519528656927,0.6385646831556389,0.4254862533526371,1.5646293964140034
104527,Stan Wawrinka,R,183.0,SUI,889,551,0.6197975253093363,3.0,6865.0,0.5776644095773829,0.7448159976837294,0.542712795895528,0.08907728358347473,0.030134924865395988,0.6301226626080515,0.6586315343596718,0.3726985524180821,1.845602176266097
105223,Juan Martin del Potro,R,198.0,ARG,594,425,0.7154882154882155,3.0,6580.0,0.6399589959734211,0.7520172721349352,0.5399324166527948,0.10155426222150661,0.029888756710299544,0.6180299557503092,0.6742839547061112,0.39122590174558713,1.8067275312083202
126094,Andrey Rublev,R,188.0,RUS,509,330,0.6483300589390962,5.0,6400.0,0.6084645384034378,0.7577166436374717,0.5154047270209416,0.09339150200120522,0.032401503552252076,0.6129488671858748,0.6621319939023055,0.38703818475144364,1.7897906851894674
105453,Kei Nishikori,R,178.0,JPN,638,421,0.6598746081504702,4.0,6205.0,0.6142445241720125,0.7046950629114784,0.5344536216119145,0.042070402631052106,0.03335020281601905,0.5877854318277697,0.638659903765417,0.3922572184891212,1.7082264078226925
104417,Robin Soderling,R,193.0,SWE,374,248,0.6631016042780749,4.0,6050.0,0.610272520703536,0.7702400797743646,0.5324945482026183,0.12013214529021946,0.03851298898451049,0.6456818543351353,0.6777839349770828,0.38800510938262733,1.8435657267960786
134770,Casper Ruud,R,183.0,NOR,386,248,0.6424870466321243,2.0,5850.0,0.6515487198780883,0.7275521400740987,0.54839857100243,0.06729060297335776,0.028279984876453588,0.5963643415690373,0.6646560409503642,0.376869797980608,1.8722457600117877
104053,Andy Roddick,R,188.0,USA,470,345,0.7340425531914894,2.0,5800.0,0.6677346425459044,0.7935178497451566,0.5718065356471665,0.1638289413777165,0.022333423659615378,0.6581876853305425,0.7193260953367878,0.3599819925410813,2.0940295003978737
126610,Matteo Berrettini,R,196.0,ITA,281,183,0.6512455516014235,6.0,5533.0,0.6405884761465319,0.7840795235863995,0.534376607507171,0.1254151561978203,0.02403866972585437,0.662239502985841,0.6942165573800116,0.3492165877246798,2.0866531092040055
105683,Milos Raonic,R,196.0,CAN,544,368,0.6764705882352942,3.0,5450.0,0.6273615255881146,0.8206078103801502,0.5616962958953635,0.20393001133094496,0.04225228115534548,0.6746360987413307,0.7240690449419205,0.34191433651456304,2.2169374916752895
103786,Nikolay Davydenko,R,178.0,RUS,607,386,0.6359143327841845,3.0,5330.0,0.67385980970813,0.6975611048875962,0.5222379643660917,0.04644848740869709,0.03564788891772886,0.5869113706406693,0.6395999312379346,0.41989705579822406,1.601000220278674
104542,Jo-Wilfried Tsonga,R,188.0,FRA,679,449,0.6612665684830633,5.0,5230.0,0.620189374033711,0.7797374347033271,0.5340978449336524,0.12535216233762606,0.030196352426984378,0.6474016595668478,0.6863694996618956,0.3595779237105857,2.0061006773657444
104607,Tomas Berdych,R,196.0,CZE,903,592,0.655592469545958,4.0,5230.0,0.5808745148460985,0.7737478943103757,0.5366232193057149,0.10308496961663335,0.03143080937063642,0.6180829526363959,0.674134441097137,0.3859122722053473,1.8420431506428978
105777,Grigor Dimitrov,R,188.0,BUL,738,449,0.6084010840108401,3.0,5150.0,0.6195733877985528,0.7570639470401231,0.5198292428681048,0.09046516931308803,0.04313768451706769,0.6074201843222782,0.6663713083533159,0.3739816752603382,1.867660361879793
126203,Taylor Fritz,R,196.0,USA,465,278,0.5978494623655914,4.0,5100.0,0.5984170287955244,0.7684375015795417,0.5314468203939702,0.12244893988754905,0.02929984792850226,0.6122169759671403,0.6728369111148698,0.36131827568973723,1.959588844737249
105227,Marin Cilic,R,198.0,CRO,894,566,0.6331096196868009,3.0,5060.0,0.5698128274559289,0.7722850198088123,0.5284891770775503,0.11864405029870073,0.03666402803718214,0.6131663896016152,0.6680018002722439,0.37891649977213965,1.84375284036682
208029,Holger Rune,R,188.0,DEN,217,134,0.6175115207373272,4.0,4825.0,0.6228653978238473,0.7278691741374048,0.5387498309609825,0.06937287313790877,0.04239864644058471,0.6247961080112839,0.6567473285426133,0.3687426247356222,1.8535712355328882
104731,Kevin Anderson,R,203.0,RSA,598,345,0.5769230769230769,5.0,4810.0,0.6426564592449898,0.7735882686971661,0.5371605161954865,0.1613004530401937,0.03680242753180814,0.6322792638898616,0.6884325216162415,0.3417602029606882,2.1358085901787627
128034,Hubert Hurkacz,R,196.0,POL,346,208,0.6011560693641619,6.0,4235.0,0.6347597668605597,0.7650925690130096,0.5301656942374721,0.13711671107964415,0.026322461154489333,0.6432256227185833,0.6787919763213985,0.35032006571864377,2.0369778168641326
200000,Felix Auger Aliassime,R,193.0,CAN,351,208,0.5925925925925926,6.0,4195.0,0.6347252718166938,0.7607570876058233,0.503822905540782,0.12234860112101009,0.05320402746990309,0.6095962254292514,0.6669463070205054,0.3663251169895022,1.9488805380449181
104468,Gilles Simon,R,183.0,FRA,875,497,0.568,7.0,4170.0,0.5714963627878327,0.6951071647418061,0.5153810284019673,0.05390499400325952,0.029153211827971537,0.5711937056175247,0.6184592079526376,0.3960586252378128,1.6410876752182053
200282,Alex De Minaur,R,183.0,AUS,395,242,0.6126582278481013,7.0,4085.0,0.5888660017277729,0.7154931944986754,0.5336274766926677,0.05072061065647522,0.0317813511426202,0.5758846971970811,0.6408127300598732,0.398646836556339,1.677400825115444
103720,Lleyton Hewitt,R,180.0,AUS,381,238,0.6246719160104987,2.0,3990.0,0.5415367241237646,0.7399022093679192,0.5246957277660036,0.08436384856985615,0.04487756039305342,0.5839509486692109,0.6406724179194004,0.40536751068602445,1.6468019506876124
104269,Fernando Verdasco,L,188.0,ESP,913,511,0.5596933187294633,7.0,3900.0,0.6742075146166568,0.71049722855743,0.5127510291790845,0.06748696089419556,0.0487146019664757,0.5981217018071846,0.6444457295786268,0.38433269638756756,1.7700946611132393
104792,Gael Monfils,R,193.0,FRA,877,549,0.6259977194982896,6.0,3815.0,0.6236360274150261,0.733440161263198,0.5031435565376948,0.10595563282354775,0.04522479561763114,0.5896850506149978,0.6455242227825423,0.38306505057371854,1.7663945878228067
105676,David Goffin,R,180.0,BEL,577,329,0.5701906412478336,7.0,3775.0,0.5847551793427159,0.716072136416986,0.5046383581887384,0.06942858500381634,0.042445447485920634,0.573842190089885,0.6284549394144242,0.3951059758031645,1.6710550339774608
106043,Diego Schwartzman,R,170.0,ARG,466,248,0.5321888412017167,9.0,3765.0,0.631816669131719,0.6562211930343702,0.5002956675541695,0.025312968121017087,0.03811217572105111,0.5460699945071184,0.598460614964117,0.4151174881476207,1.5158211314581072
133430,Denis Shapovalov,L,185.0,CAN,373,206,0.5522788203753352,10.0,3625.0,0.5933495362713128,0.7676404183342533,0.5177950216714624,0.10519703953457006,0.06845118756727861,0.613725792985101,0.6662180585868636,0.3542567880118496,1.9923261368572824
104545,John Isner,R,206.0,USA,780,479,0.6141025641025641,9.0,3570.0,0.6886684350191726,0.7905573024082433,0.565082515691977,0.21424344833321474,0.026110386775492975,0.6880186226908763,0.7203277915111085,0.29768228643808353,2.5632894110722497
103484,James Blake,R,185.0,USA,419,254,0.6062052505966588,5.0,3550.0,0.5716062733692575,0.7420807668840708,0.5249465774788056,0.08037668289351792,0.034776604702236626,0.5934851026648451,0.6486924654035966,0.38520256047775064,1.759253588229613
111815,Cameron Norrie,L,188.0,GBR,359,208,0.5793871866295265,8.0,3550.0,0.65168271817275,0.7082543074970356,0.5111914532531938,0.061051249471963984,0.03567942754006732,0.6103959702181759,0.6392536444228123,0.3806895217125176,1.7934473063542091
103900,David Nalbandian,R,180.0,ARG,352,234,0.6647727272727273,3.0,3500.0,0.5864956450968826,0.7090894292750641,0.5316095178929241,0.05248381561182345,0.04047506506774668,0.5795054185584194,0.6358222253314932,0.4135401032414414,1.6127955839063424
104022,Mikhail Youzhny,R,183.0,RUS,661,357,0.540090771558245,8.0,3500.0,0.6094075493153684,0.7035262588350072,0.5212538159267179,0.05260792517047366,0.03251318895454193,0.5852267714007183,0.6313286245655053,0.3847443036346154,1.7212687788187413
126205,Tommy Paul,R,185.0,USA,295,173,0.5864406779661017,12.0,3410.0,0.6143223734058334,0.7157696184492595,0.5376228891457232,0.06554634689283126,0.02759539256547611,0.5949866021765335,0.6459092160007622,0.38658736508920294,1.7297398657907932
103498,Marat Safin,R,193.0,RUS,214,117,0.5467289719626168,3.0,3390.0,0.5757446654890713,0.741995965652417,0.5246224553037484,0.10172081914211768,0.029403106371621218,0.5956915487537191,0.6492549214770045,0.3672164735519253,1.8538788142732643
105807,Pablo Carreno Busta,R,188.0,ESP,488,270,0.5532786885245902,10.0,3325.0,0.6508800362080507,0.6989105595336255,0.5287544778811585,0.05348908194633463,0.02355320824491629,0.5975820205806938,0.6386736996406115,0.38067746457723645,1.7888606924383952
104386,Janko Tipsarevic,R,180.0,SRB,486,254,0.522633744855967,8.0,3320.0,0.5626754135496338,0.740662839744469,0.5237620846520624,0.08862446606967572,0.032150258369960466,0.571478887800608,0.6451667635605339,0.36598522943554795,1.8624314209082593
103344,Ivan Ljubicic,R,193.0,CRO,403,254,0.630272952853598,3.0,3315.0,0.5981348014461666,0.7815918307320293,0.5274505359917739,0.15600301393975816,0.02681055670855504,0.6336401902191375,0.6795986196726164,0.35332917604285546,2.011534714041642
104755,Richard Gasquet,R,185.0,FRA,942,576,0.6114649681528662,7.0,3300.0,0.6146597624911091,0.7331011630059743,0.5365611062524845,0.07227576934939932,0.031242323699475574,0.587555730180705,0.6571896662640924,0.38130410823191857,1.8169981860429691
103602,Fernando Gonzalez,R,183.0,CHI,332,221,0.6656626506024096,5.0,3285.0,0.6192814084246484,0.7500284554036468,0.5329535345503551,0.08377538263040817,0.03900355707835108,0.632113059227928,0.6664419406211286,0.36862607767009775,1.9203229564327815
